date,tmin,tmax,tavg,prcp,wspd
2000-01-01,0.16184971098265893,0.22554347826086962,0.1127596439169139,0.0,0.5116279069767442
2000-01-02,0.22254335260115607,0.2065217391304348,0.09792284866468842,0.0,0.5116279069767442
2000-01-03,0.1907514450867052,0.21739130434782605,0.06231454005934717,0.0,0.5116279069767442
2000-01-05,0.1445086705202312,0.12500000000000006,0.06528189910979226,0.0,0.5116279069767442
2000-01-06,0.1445086705202312,0.14673913043478265,0.08605341246290799,0.0,0.5116279069767442
2000-01-07,0.12138728323699423,0.16032608695652178,0.06824925816023736,0.0,0.5116279069767442
2000-01-08,0.17630057803468208,0.17119565217391308,0.1513353115727003,0.0,0.5116279069767442
2000-01-10,0.2832369942196532,0.21739130434782605,0.19881305637982194,0.0,0.5116279069767442
2000-01-11,0.23410404624277456,0.3804347826086957,0.21661721068249257,0.0,0.5116279069767442
2000-01-12,0.3959537572254335,0.27989130434782616,0.2700296735905044,0.013152126260412098,0.5116279069767442
2000-01-13,0.3959537572254335,0.21739130434782605,0.2373887240356083,0.06137658921525646,0.5116279069767442
2000-01-14,0.3959537572254335,0.23913043478260876,0.17210682492581597,0.0,0.5116279069767442
2000-01-26,0.3959537572254335,0.2717391304347826,0.24629080118694358,0.04778605874616396,0.5116279069767442
2000-01-27,0.30346820809248554,0.19565217391304346,0.20474777448071213,0.0,0.5116279069767442
2000-02-11,0.30346820809248554,0.12771739130434784,0.1513353115727003,0.1490574309513371,0.5116279069767442
2000-02-12,0.23121387283236994,0.19836956521739135,0.14540059347181006,0.0,0.5116279069767442
2000-02-21,0.23121387283236994,0.3369565217391305,0.30563798219584576,0.0,0.5116279069767442
2000-03-22,0.44219653179190754,0.5054347826086958,0.4391691394658754,0.013152126260412098,0.5116279069767442
2000-04-28,0.7225433526011561,0.7717391304347827,0.738872403560831,0.0,0.5116279069767442
2000-05-06,0.6705202312138728,0.6603260869565218,0.6498516320474776,0.017974572555896535,0.5116279069767442
2000-05-07,0.6184971098265896,0.5489130434782609,0.5608308605341246,0.013152126260412098,0.5116279069767442
2000-05-08,0.6213872832369942,0.6875000000000001,0.6973293768545994,0.0021920210434020165,0.5116279069767442
2000-05-09,0.7398843930635839,0.7554347826086958,0.7566765578635013,0.0,0.5116279069767442
2000-05-31,0.7341040462427745,0.7961956521739131,0.7537091988130564,0.0013152126260412098,0.5116279069767442
2000-06-01,0.7341040462427745,0.7336956521739133,0.6646884272997031,0.0,0.5116279069767442
2000-06-02,0.7398843930635839,0.7472826086956523,0.7685459940652819,0.0789127575624726,0.5116279069767442
2000-06-03,0.8439306358381502,0.7554347826086958,0.7863501483679523,0.0,0.5116279069767442
2000-06-05,0.684971098265896,0.6847826086956522,0.7032640949554896,0.03463393248575186,0.5116279069767442
2000-06-06,0.7514450867052023,0.5054347826086958,0.5875370919881306,0.0,0.5116279069767442
2000-06-08,0.6936416184971098,0.5217391304347826,0.5786350148367951,0.12231477422183251,0.5116279069767442
2000-06-09,0.7456647398843931,0.6005434782608695,0.6468842729970326,0.0021920210434020165,0.5116279069767442
2000-06-10,0.7514450867052023,0.6005434782608695,0.6409495548961424,0.0,0.5116279069767442
2000-06-14,0.8092485549132948,0.7608695652173916,0.8071216617210681,0.0,0.5116279069767442
2000-06-30,0.7514450867052023,0.5652173913043479,0.6261127596439169,0.10916264796142042,0.5116279069767442
2000-07-01,0.7514450867052023,0.5869565217391304,0.6439169139465875,0.2240245506356861,0.5116279069767442
2000-07-02,0.7514450867052023,0.6059782608695653,0.6261127596439169,0.06137658921525646,0.5116279069767442
2000-07-03,0.7427745664739884,0.6331521739130436,0.6884272997032641,0.0021920210434020165,0.5116279069767442
2000-07-04,0.8005780346820809,0.6847826086956522,0.738872403560831,0.0,0.5116279069767442
2000-07-08,0.7398843930635839,0.5978260869565218,0.6646884272997031,0.008768084173608066,0.5116279069767442
2000-07-09,0.7398843930635839,0.6630434782608697,0.7270029673590503,0.0,0.5116279069767442
2000-07-10,0.7745664739884394,0.673913043478261,0.6943620178041543,0.0,0.5116279069767442
2000-07-11,0.7312138728323699,0.6141304347826086,0.6379821958456973,0.03463393248575186,0.5116279069767442
2000-07-13,0.791907514450867,0.657608695652174,0.6973293768545994,0.0267426567295046,0.5116279069767442
2000-07-14,0.791907514450867,0.6304347826086957,0.6083086053412463,0.0035072336694432268,0.5116279069767442
2000-07-15,0.791907514450867,0.5652173913043479,0.6528189910979227,0.0,0.5116279069767442
2000-07-16,0.7109826589595376,0.5842391304347827,0.5964391691394657,0.14028934677772906,0.5116279069767442
2000-07-17,0.7225433526011561,0.6086956521739132,0.6083086053412463,0.1446733888645331,0.5116279069767442
2000-07-18,0.7254335260115607,0.5597826086956522,0.6261127596439169,0.25822007891275756,0.5116279069767442
2000-07-19,0.7254335260115607,0.5652173913043479,0.6320474777448071,0.0021920210434020165,0.5116279069767442
2000-07-20,0.7254335260115607,0.6086956521739132,0.6795252225519286,0.022358614642700565,0.5116279069767442
2000-07-21,0.7254335260115607,0.5516304347826088,0.6320474777448071,0.0,0.5116279069767442
2000-07-22,0.7138728323699421,0.516304347826087,0.5697329376854599,0.0267426567295046,0.5116279069767442
2000-07-23,0.7225433526011561,0.5108695652173914,0.5905044510385755,0.0021920210434020165,0.5116279069767442
2000-07-24,0.708092485549133,0.5815217391304349,0.6172106824925816,0.031126698816308633,0.5116279069767442
2000-07-25,0.7167630057803468,0.5815217391304349,0.6676557863501484,0.131521262604121,0.5116279069767442
2000-07-26,0.7890173410404624,0.657608695652174,0.7091988130563798,0.0,0.5116279069767442
